decay_rate,infec_list_FB,infec_list_BA,early_deg_FB,early_deg_BA,speed_list_FB,speed_list_BA,reach_list_FB,reach_list_BA
0.0521,155,505,24.570155400155404,40.45287150757739,6.105263157894737,16.11111111111111,2,5
0.0521,286,458,17.0119227994228,42.94560411810412,10.478260869565217,15.185185185185185,5,4
0.0521,244,419,11.771652726358608,47.61714285714286,10.15,13.444444444444445,3,5
0.0521,169,412,23.734318181818182,44.48198717948718,6.4,13.384615384615385,2,5
0.0521,529,403,15.107875071204958,36.85650349650349,18.92,13.038461538461538,3,5
0.0521,188,350,8.357490842490844,39.82,7.7894736842105265,11.185185185185185,3,5
0.0521,247,399,11.15875816993464,44.00416666666667,9.952380952380953,12.923076923076923,2,6
0.0521,306,412,23.11732142857143,41.5408621933622,11.26086956521739,13.407407407407407,7,5
0.0521,247,354,16.2667365967366,35.55952380952381,9.761904761904763,11.0,5,5
0.0521,185,319,8.07578898225957,36.04191919191919,9.533333333333333,9.518518518518519,2,6
0.0626,101,535,10.083333333333334,40.20677495706907,4.923076923076923,18.384615384615383,3,5
0.0626,208,288,15.875169275169275,38.13809523809524,7.454545454545454,8.692307692307692,5,5
0.0626,229,380,11.172440476190475,42.12865079365079,9.736842105263158,12.73076923076923,4,5
0.0626,104,299,22.118253968253967,40.036904761904765,3.7222222222222223,9.615384615384615,5,5
0.0626,155,208,28.95555555555556,39.36666666666666,6.105263157894737,6.2,2,6
0.0626,263,357,22.43068070818071,46.10559523809523,9.695652173913043,11.153846153846153,5,5
0.0626,265,422,18.63595864661654,38.18047619047619,10.272727272727273,13.846153846153847,5,5
0.0626,163,339,21.85309523809524,49.254999999999995,6.05,11.115384615384615,2,5
0.0626,147,167,23.06041666666667,32.141666666666666,5.578947368421052,4.96,2,6
0.0626,220,342,13.951865079365081,49.20983044733045,8.238095238095237,10.592592592592593,5,5
0.0626,289,385,21.65599352338483,37.99186507936508,10.208333333333334,12.423076923076923,5,5
0.0626,149,250,24.261822344322347,38.99166666666666,6.411764705882353,7.8076923076923075,2,6
0.0626,236,443,14.337717086834735,38.3582233044733,9.238095238095237,14.346153846153847,4,5
0.0626,178,298,24.902247752247753,37.38452380952381,7.368421052631579,9.23076923076923,7,5
0.0626,72,160,11.335,38.083333333333336,3.3,4.75,3,7
0.0626,299,251,19.910562982768862,38.53589743589744,10.708333333333334,8.0,6,6
0.0626,257,398,21.261385281385284,38.58562324929972,10.0,12.703703703703704,2,5
0.0626,85,563,14.234523809523811,40.20597798844938,4.454545454545454,18.88888888888889,3,5
0.0626,73,345,13.105714285714285,42.64170634920635,4.0,10.481481481481481,3,5
0.0626,60,454,51.733333333333334,38.15742673992674,1.75,14.961538461538462,4,5
0.0732,194,170,7.66625,33.016666666666666,9.375,4.84,4,5
0.0732,166,141,34.219509379509375,37.29166666666667,7.0,4.291666666666667,7,5
0.0732,220,383,16.908982793522267,49.47853174603175,8.95,12.73076923076923,3,5
0.0732,230,334,18.212391774891778,37.014314574314575,9.842105263157896,10.884615384615385,2,5
0.0732,233,275,14.799423615600086,37.10011904761905,8.636363636363637,8.88,5,6
0.0732,46,196,3.9708333333333328,34.957142857142856,8.0,5.52,2,6
0.0732,287,223,24.744145299145302,43.50888888888889,10.434782608695652,6.923076923076923,6,6
0.0732,294,153,19.55410695158777,33.79,10.708333333333334,4.12,4,6
0.0732,240,389,18.54836206277383,38.87686920922216,9.181818181818182,12.692307692307692,2,5
0.0732,226,351,16.349786324786326,42.54710567210567,9.0,11.615384615384615,3,5
0.0732,279,168,20.571544032592794,32.53333333333334,10.478260869565217,4.76,4,6
0.0732,286,280,20.699150114591287,55.98007936507936,10.391304347826088,8.346153846153847,6,6
0.0732,227,110,16.670437122217308,19.71,9.68421052631579,2.6,4,7
0.0732,256,305,18.78230158730159,59.74623376623377,9.521739130434783,9.615384615384615,5,6
0.0732,240,291,11.164989961729091,36.93580808080809,9.090909090909092,9.6,4,5
0.0732,262,400,22.36439542182963,41.310854978354975,10.142857142857142,13.192307692307692,4,5
0.0732,199,251,10.37486652236652,37.28,7.333333333333333,7.6923076923076925,4,6
0.0732,103,358,38.759523809523806,58.402078754578746,3.15,11.346153846153847,6,6
